id,company,contact_name,first_name,role,trade_niche,division,city,state,region,email,phone,website,sample_project_proof,sample_file_reference,verification_status,deliverability_score,target_outreach_day,pipeline_status,subject,typical_value
1,Premier Electric Contractors,Sarah Anderson,Sarah,Owner,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Portland,OR,Northwest,estimating@premierelectric.com,(264) 940-9274,https://www.premierelectric.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),97,2,Ready for Dispatch,scaling your MEP - Mechanical & HVAC bid volume without hiring full-time,$350 - $700 per project
2,Legacy Commercial Paint Enterprises,Brad Smith,Brad,Senior Estimator,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Denver,CO,Mountain,estimating@legacycoatings.com,(441) 632-7380,https://www.legacycoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),96,3,Ready for Dispatch,quick question regarding Legacy Commercial Paint Enterprises's takeoff bandwidth,$150 - $350 per project
3,Strategic Power Builders,Emily Brown,Emily,Chief Estimator,MEP - Electrical,Division 26 - Electrical,Dallas-Fort Worth,TX,South,emily@strategicpower.com,(817) 273-5501,https://www.strategicpower.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),96,4,Ready for Dispatch,quick question regarding Strategic Power Builders's takeoff bandwidth,$350 - $750 per project
4,Legacy Systems Services,James Smith,James,Chief Estimator,MEP - Plumbing & Piping,Division 22 - Plumbing,San Francisco Bay Area,CA,West,jsmith@legacysystems.com,(729) 226-5322,https://www.legacysystems.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,5,Ready for Dispatch,bid capacity for Legacy Systems Services - 24-48 hr turnaround,$300 - $650 per project
5,Vanguard Floors Construction,Matthew Thompson,Matthew,Senior Estimator,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Salt Lake City,UT,Mountain,mthompson@vanguardflooring.com,(427) 274-4549,https://www.vanguardflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,6,Ready for Dispatch,quick question regarding Vanguard Floors Construction's takeoff bandwidth,$150 - $350 per project
6,Pinnacle General Contracting Builders,Anthony Wilson,Anthony,Chief Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Las Vegas,NV,Southwest,anthony@pinnaclebuilds.com,(798) 267-4650,https://www.pinnaclebuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,7,Ready for Dispatch,"Anthony, takeoff support for Pinnacle General Contracting Builders?","$600 - $1,800 per project (or $2,000/mo retainer)"
7,Apex Paving Group,Steve Davis,Steve,Senior Estimator,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Los Angeles,CA,West,steve.davis@apexconcrete.com,(406) 471-4187,https://www.apexconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,1,Ready for Dispatch,scaling your Concrete & Masonry bid volume without hiring full-time,$300 - $800 per project
8,Vertex Energy Systems,Rachel Thompson,Rachel,Chief Estimator,MEP - Electrical,Division 26 - Electrical,Minneapolis-St. Paul,MN,Midwest,rthompson@vertexenergy.com,(639) 338-7058,https://www.vertexenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,2,Ready for Dispatch,quick question regarding Vertex Energy Systems's takeoff bandwidth,$350 - $750 per project
9,Paramount Framing Builders,James Johnson,James,Managing Partner,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Seattle,WA,Northwest,jjohnson@paramountinteriors.com,(564) 715-2374,https://www.paramountinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,3,Ready for Dispatch,scaling your Drywall & Framing bid volume without hiring full-time,$200 - $450 per project
10,Beacon Builders Enterprises,Lisa Hernandez,Lisa,VP of Operations,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Atlanta,GA,Southeast,bids@beaconbuilds.com,(616) 766-1488,https://www.beaconbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,4,Ready for Dispatch,scaling your Residential Custom Builders & Remodelers bid volume without hiring full-time,$250 - $600 per project
11,Beacon Exterior Partners,Matthew Harris,Matthew,President,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Atlanta,GA,Southeast,estimating@beaconroofing.com,(687) 384-1885,https://www.beaconroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,5,Ready for Dispatch,bid capacity for Beacon Exterior Partners - 24-48 hr turnaround,$150 - $400 per project
12,Legacy General Contracting Services,Michael Garcia,Michael,Preconstruction Director,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,San Antonio,TX,South,estimating@legacybuilds.com,(390) 651-7706,https://www.legacybuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,6,Ready for Dispatch,bid capacity for Legacy General Contracting Services - 24-48 hr turnaround,$250 - $600 per project
13,Beacon Flooring Construction,Ashley Anderson,Ashley,President,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Orlando,FL,Southeast,bids@beaconflooring.com,(452) 306-3565,https://www.beaconflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,7,Ready for Dispatch,quick question regarding Beacon Flooring Construction's takeoff bandwidth,$150 - $350 per project
14,Apex Builders Enterprises,Steve Perez,Steve,Preconstruction Director,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Atlanta,GA,Southeast,sperez@apexbuilds.com,(557) 479-6924,https://www.apexbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,1,Ready for Dispatch,quick question regarding Apex Builders Enterprises's takeoff bandwidth,"$600 - $1,800 per project (or $2,000/mo retainer)"
15,Strategic Concrete Group,Scott Martin,Scott,Chief Estimator,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Philadelphia,PA,Northeast,estimating@strategicconcrete.com,(853) 348-5401,https://www.strategicconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,2,Ready for Dispatch,scaling your Concrete & Masonry bid volume without hiring full-time,$300 - $800 per project
16,Metro Electrix Systems,Chris Thompson,Chris,VP of Operations,MEP - Electrical,Division 26 - Electrical,San Francisco Bay Area,CA,West,chris.thompson@metroelectrix.com,(651) 778-5421,https://www.metroelectrix.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),94,3,Ready for Dispatch,outsource takeoff support for Metro Electrix Systems (San Francisco Bay Area),$350 - $750 per project
17,Pinnacle Structures Partners,Ashley Martinez,Ashley,Chief Estimator,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Indianapolis,IN,Midwest,bids@pinnacleconcrete.com,(282) 702-3786,https://www.pinnacleconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,4,Ready for Dispatch,outsource takeoff support for Pinnacle Structures Partners (Indianapolis),$300 - $800 per project
18,Titan Systems Builders,Matthew Sanchez,Matthew,Owner,MEP - Electrical,Division 26 - Electrical,Orlando,FL,Southeast,bids@titansystems.com,(836) 777-4147,https://www.titansystems.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),94,5,Ready for Dispatch,quick question regarding Titan Systems Builders's takeoff bandwidth,$350 - $750 per project
19,Vertex Energy Partners,Emily Jones,Emily,VP of Operations,MEP - Electrical,Division 26 - Electrical,Boston,MA,Northeast,emily@vertexenergy.com,(525) 307-3319,https://www.vertexenergy.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,6,Ready for Dispatch,scaling your MEP - Electrical bid volume without hiring full-time,$350 - $750 per project
20,Beacon Electrix Partners,Lisa Gonzalez,Lisa,VP of Operations,MEP - Electrical,Division 26 - Electrical,Miami-Fort Lauderdale,FL,Southeast,lgonzalez@beaconelectrix.com,(401) 767-2486,https://www.beaconelectrix.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,7,Ready for Dispatch,scaling your MEP - Electrical bid volume without hiring full-time,$350 - $750 per project
21,Paramount Electric Solutions,Jeff Jackson,Jeff,VP of Operations,MEP - Electrical,Division 26 - Electrical,Portland,OR,Northwest,bids@paramountelectric.com,(439) 238-2522,https://www.paramountelectric.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,scaling your MEP - Electrical bid volume without hiring full-time,$350 - $750 per project
22,Integrity Floors Associates,Brian Williams,Brian,Preconstruction Director,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Seattle,WA,Northwest,bids@integrityflooring.com,(754) 281-8549,https://www.integrityflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,2,Ready for Dispatch,bid capacity for Integrity Floors Associates - 24-48 hr turnaround,$150 - $350 per project
23,Strategic Acoustics Enterprises,Mark Garcia,Mark,VP of Operations,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Houston,TX,South,mark.garcia@strategicinteriors.com,(997) 714-5664,https://www.strategicinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,3,Ready for Dispatch,scaling your Drywall & Framing bid volume without hiring full-time,$200 - $450 per project
24,Vertex Finishes Services,Jeff Smith,Jeff,Preconstruction Director,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Austin,TX,South,jeff.smith@vertexcoatings.com,(665) 434-8822,https://www.vertexcoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),99,4,Ready for Dispatch,quick question regarding Vertex Finishes Services's takeoff bandwidth,$150 - $350 per project
